epoch,acc,loss
0,0.5958230958475039,0.7155527759047438
1,0.6089271090247415,0.6858461534850037
2,0.6212121213097537,0.6704904307213891
3,0.6269451270427594,0.659846199281288
4,0.6380016380260461,0.6506260225364754
5,0.6457821457333295,0.6432729601176619
6,0.6552006552006552,0.6364328277394188
7,0.6609336609824772,0.6292720732388196
8,0.6687141686165362,0.6218617357356347
9,0.6760851760363599,0.6152746882915107
10,0.6871416872393197,0.6082799617234651
11,0.6842751843240005,0.6024617653318745
12,0.691236691187875,0.5959055638528085
13,0.6920556921045083,0.5909260706175165
14,0.6916461915485591,0.5858420270276207
15,0.6973791974036055,0.5815052423293624
16,0.7022932023908348,0.5766798332516626
17,0.6990171990660152,0.5728583268510036
18,0.6973791974280137,0.569460078500315
19,0.6998361997873835,0.5660354163098004
20,0.6969696969208807,0.5632226807870013
21,0.7031122031610194,0.5602426501593563
22,0.7018837017860694,0.5575096753901092
23,0.7039312039800202,0.5548688500851124
24,0.6990171989683828,0.5526408514314554
25,0.7018837018348856,0.5507081959405754
26,0.7043407043407044,0.5486983807237299
27,0.704750204799021,0.5470297233087913
28,0.7121212121700283,0.5444890464260186
29,0.7027027027515189,0.5427155007015575
30,0.7051597051108889,0.5403198987416417
31,0.7088452088940251,0.5385202871396052
32,0.7113022112045788,0.5370614877692214
33,0.71375921380803,0.5347665113859934
34,0.7121212122188446,0.5334152256632124
35,0.7133497133008971,0.531495826787191
36,0.7121212120235796,0.5292155250821515
37,0.7149877150365312,0.5276901236720792
38,0.7145782145293983,0.5266170899073283
39,0.7162162161185837,0.5236921597708453
40,0.7207207206719045,0.5220334431756041
41,0.7260442259465936,0.5205769012640188
42,0.7248157249133573,0.5185217355041598
43,0.7227682227194066,0.5160815092406246
44,0.7260442260686342,0.5143552744710768
45,0.7285012285256366,0.5122372964969139
46,0.7301392300415976,0.5087748912882356
47,0.7350532351508675,0.5076990416067532
48,0.738738738787555,0.5048521398570477
49,0.7338247337271013,0.5019517721063674
50,0.7411957412933737,0.49943040727495075
51,0.7416052415076091,0.49644156143276735
52,0.7493857494833819,0.4924116390928882
53,0.7497952498440661,0.4891214426378067
54,0.7465192466168791,0.48613703582835527
55,0.7547092547580709,0.48127800050473035
56,0.7469287470263795,0.4772184450640042
57,0.7612612611636288,0.47334330942082076
58,0.7588042589018913,0.46892764829983974
59,0.76371826376708,0.4661058269496046
60,0.7624897624409462,0.4620999813470364
61,0.7694512694024532,0.45791147855536846
62,0.7723177722201399,0.4550840101409993
63,0.7751842752086833,0.4504032753023527
64,0.7833742834230997,0.44768660362385804
65,0.7800982800006476,0.4443450896687238
66,0.7874692874692875,0.44003898398393887
67,0.7878787877811554,0.43712859601392595
68,0.7911547910571587,0.4339412367314613
69,0.799754299803116,0.43037864890477384
70,0.8009828008851685,0.4265120181756172
71,0.801801801850618,0.4242231987911009
72,0.8022113021136698,0.4196983018583396
73,0.8042588041611718,0.41707856029296486
74,0.8128583129071291,0.4142799861698635
75,0.8112203111226787,0.4104556717118897
76,0.8128583128583129,0.4062775356373174
77,0.8165438165926328,0.4038746122157935
78,0.8165438164950003,0.4003432125072807
